ticker	companyName	currentPrice	previousClose	dividendYield	per	pbr	marketCap	volume	pricemovement	signal	memo
4170	カイゼン	211円	219 (01/26)	－％	－	1.22	35.9億円	725,800			
5817	ＪＭＡＣＳ	1,266円	1,151 (01/26)	0.79％	29.2	1.3	73.3億円	534,000			
3727	アプリックス	207円	198 (01/26)	1.69％	－	1.72	45.4億円	476,300			
2342	トランスＧＧ	297円	298 (01/26)	－％	123	1.03	50.5億円	443,900			
288A	ラクサス	139円	147 (01/26)	－％	10.7	1.19	35.9億円	389,000			
6433	ヒーハイスト	895円	913 (01/26)	－％	－	2.16	56.5億円	369100			
3936	グローバルウェイ	143円	147 (01/26)	－％	96.6	6.58	52.3億円	365,100			
2164	地域新聞社	304円	295 (01/26)	－％	－	3.83	22.8億円	325,100			
3444	菊池製作所	1,005円	1,046 (01/26)	1.00％	76	2.32	124億円	315300			
3917	アイリッジ	669円	675 (01/26)	－％	6.5	1.73	52.4億円	225,300			
3624	アクセルマーク	83円	83 (01/26)	－％	－	2.07	16.5億円	158,500			
241A	ＲＯＸＸ	593円	580 (01/26)	－％	4,235	2.21	43.1億円	84,800			
3237	イントランス	67円	67 (01/26)	－％	56.8	6.64	31.2億円	81,400			
4424	Ａｍａｚｉａ	279円	277 (01/26)	－％	－	2.18	18.9億円	70,400			
3042	セキュアヴェイル	372円	368 (01/26)	1.34％	38.2	2.34	28.6億円	58,300			
4490	ビザスク	643円	640 (01/26)	－％	12.4	4.51	59.6億円	49,400			
4260	ハイブリッド	308円	310 (01/26)	－％	3,422	1.66	35.4億円	29,800			
3680	ホットリンク	272円	270 (01/26)	2.21％	156	0.78	43.4億円	25,600			
3645	メディカルネット	295円	295 (01/26)	1.02％	22.5	1.4	31.8億円	25,600			
281A	インフォメティス	366円	367 (01/26)	－％	－	2.27	18.0億円	24,600			
3908	コラボス	295円	297 (01/26)	1.36％	19.6	1.04	14.7億円	21,300			
3187	ミラタップ	269円	261 (01/26)	－％	21.5	1.8	51.8億円	19,600			
3137	ファンデリー	229円	228 (01/26)	－％	111	12.35	29.6億円	13,500			
7726	黒田精工	999円	995 (01/26)	2.00％	43	0.49	57.4億円	13,400			
4179	ジーネクスト	353円	352 (01/26)	－％	－	25.54	19.2億円	12,900			
2351	ＡＳＪ	302円	303 (01/26)	0.66％	34	0.83	24.0億円	12,100			
196A	ＭＦＳ	282円	284 (01/26)	－％	19.7	1.29	28.8億円	11,300			
4484	ランサーズ	317円	316 (01/26)	0.63％	26	3.68	51.5億円	9,800			
4265	ＩＧＳ	312円	311 (01/26)	－％	24.8	2.31	14.9億円	9,800			
4052	フィーチャ	292円	293 (01/26)	－％	122	2.59	17.1億円	9,600			
4438	Ｗｅｌｂｙ	299円	295 (01/26)	－％	－	7.19	24.7億円	9,000			
4167	ココペリ	312円	303 (01/26)	－％	－	1.35	24.7億円	9,000			
4240	クラスターテクノロジー	342円	342 (01/26)	1.17％	17.4	1.12	19.5億円	8,700			
3674	オークファン	337円	339 (01/26)	－％	177	0.87	36.4億円	8,500			
3929	ソーシャルワイヤー	282円	279 (01/26)	－％	15	1.99	33.4億円	7,700			
3987	エコモット	514円	506 (01/26)	－％	64.7	3.31	27.1億円	7,200			
3550	スタジオアタオ	216円	215 (01/26)	2.31％	24.9	1.19	30.3億円	7,000			
4381	ビープラッツ	582円	580 (01/26)	－％	－	7.77	15.8億円	5,200			
4057	インターファクトリー	410円	403 (01/26)	－％	31.2	1.37	16.9億円	300			
