ticker	companyName	currentPrice	previousClose	dividendYield	per	pbr	marketCap	volume	pricemovement	signal	memo
3137	ファンデリー	229円	228 (01/26)	－％	111	12.35	29.6億円	13,500			
5817	ＪＭＡＣＳ	1,266円	1,151 (01/26)	0.79％	29.2	1.3	73.3億円	534,000			
3624	アクセルマーク	83円	83 (01/26)	－％	－	2.07	16.5億円	158,500			
4170	カイゼン	211円	219 (01/26)	－％	－	1.22	35.9億円	725,800			
3444	菊池製作所	1,005円	1,046 (01/26)	1.00％	76	2.32	124億円	315300			
288A	ラクサス	139円	147 (01/26)	－％	10.7	1.19	35.9億円	389,000			
241A	ＲＯＸＸ	593円	580 (01/26)	－％	4,235	2.21	43.1億円	84,800			
3550	スタジオアタオ	216円	215 (01/26)	2.31％	24.9	1.19	30.3億円	7,000			
4490	ビザスク	643円	640 (01/26)	－％	12.4	4.51	59.6億円	49,400			
4052	フィーチャ	292円	293 (01/26)	－％	122	2.59	17.1億円	9,600			
4381	ビープラッツ	582円	580 (01/26)	－％	－	7.77	15.8億円	5,200			
2164	地域新聞社	304円	295 (01/26)	－％	－	3.83	22.8億円	325,100			
4424	Ａｍａｚｉａ	279円	277 (01/26)	－％	－	2.18	18.9億円	70,400			
